Area;MajorAxisLength;MinorAxisLength;ConvexArea;EquivDiameter;Class
30626;242,8937507;161,4059465;31255;197,4695782;DERMASON
40662;279,2703195;185,8498523;41304;227,5356376;SIRA
46102;308,4593486;190,8681759;46836;242,278537;SIRA
47562;290,0399054;209,4093521;47944;246,0849837;SEKER
64566;355,1781595;232,5007748;65592;286,7193479;BARBUNYA
40861;258,2850953;202,0524869;41373;228,0917382;SEKER
45102;347,7792409;167,2141025;45917;239,6364954;HOROZ
55136;385,0915408;183,0237607;55684;264,9553463;HOROZ
35632;276,1867325;164,8450123;36011;212,9978203;DERMASON
37631;248,899729;192,992721;38388;218,891017;SEKER
55387;328,4568228;215,2324142;55945;265,5577501;BARBUNYA
20420;183,601165;141,8862155;20684;161,2437642;DERMASON
28139;220,1561651;163,1082547;28459;189,2820318;DERMASON
45728;310,7746489;188,2407399;46383;241,2938;SIRA
33657;260,1653166;165,5826681;34070;207,0106842;DERMASON
44785;334,7521645;174,6694205;46109;238,7928663;HOROZ
38233;274,1696164;177,8508917;38609;220,6349191;DERMASON
37560;280,5802493;171,0444468;37925;218,684424;DERMASON
37362;234,3934654;203,5114997;37914;218,1072577;SEKER
44385;255,6372875;221,4859426;44875;237,7240779;SEKER
52652;337,2729061;199,6235398;53257;258,9181502;SIRA
58490;383,2262065;195,2039971;59119;272,8951831;HOROZ
38650;246,2123643;200,1466011;38932;221,8348674;SEKER
35653;265,1395304;171,5330926;36096;213,060577;DERMASON
45569;302,8578218;192,593621;46067;240,8739355;SIRA
69589;385,7660295;230,724245;70774;297,6633445;BARBUNYA
42188;285,1425745;189,149037;42731;231,7658946;SIRA
28892;226,5833689;162,6860396;29215;191,7979065;DERMASON
82124;437,316754;240,869571;82957;323,362837;CALI
55563;315,9455;224,7293094;56100;265,9793391;SIRA
70888;384,9516749;236,5347872;72031;300,4287018;CALI
39833;284,9411729;178,373633;40259;225,2042424;DERMASON
37679;271,5210907;177,126914;38108;219,030575;SIRA
44568;310,3798236;183,2864718;45105;238,2136437;SIRA
91657;460,8365932;255,8319733;93537;341,6157446;CALI
41241;283,5379879;186,4067014;41750;229,14989;SIRA
43238;267,6586352;205,9311504;43630;234,6323325;SEKER
38147;265,5571724;183,4325973;38558;220,3866351;SIRA
32870;220,3581629;190,0206598;33198;204,5761077;SEKER
43655;259,5877232;214,2979241;44077;235,7610492;SEKER
42061;284,1890347;188,7481953;42460;231,4167852;SIRA
41114;339,5572132;154,6684699;41547;228,796789;HOROZ
68841;371,9841057;236,2008465;69365;296,0592567;CALI
37892;266,5233764;181,3339289;38274;219,6487943;DERMASON
32942;244,1862928;172,2080371;33337;204,8000417;DERMASON
43743;345,6438071;162,240382;44261;235,9985538;HOROZ
53009;375,4326141;180,6114155;53622;259,7944476;HOROZ
59499;396,9401298;191,9924422;60449;275,2389501;HOROZ
