Perimeter;MajorAxisLength;MinorAxisLength;EquivDiameter;Extent;Class
793,897;301,0864485;187,8248887;237,1315062;0,796034607;SIRA
1045,603;412,2459647;226,3721748;303,9824994;0,784586113;CALI
1599,366;602,4211213;362,6898829;466,9049744;0,786445271;BOMBAY
586,2;200,7781655;165,6640254;182,3057098;0,773766118;DERMASON
1062,267;433,5484826;196,7394693;291,6265341;0,595034475;HOROZ
995,284;375,0609853;241,0058327;299,8729999;0,739849151;CALI
748,99;259,4181962;209,1264365;232,6377443;0,799947305;SEKER
918,914;390,0784989;173,9985977;259,1442582;0,813009634;HOROZ
984,152;385,5043376;199,9895086;276,7037889;0,681745006;HOROZ
648,848;236,8877335;168,6505756;199,5477224;0,730291425;DERMASON
752,867;271,5677724;195,344554;229,9153892;0,793262892;SIRA
919,972;372,9546216;186,4501232;262,6652455;0,759240577;HOROZ
854,73;286,0227064;242,1620824;262,8953955;0,788466846;SEKER
1017,207;390,9985976;195,0682914;275,4770832;0,722343417;HOROZ
680,595;227,819142;190,8101712;208,359422;0,762250738;SEKER
834,163;345,4243527;162,9959755;236,4863078;0,712681724;HOROZ
697,864;249,4449261;188,6030203;216,7193123;0,77758806;SEKER
1652,744;630,5905427;381,280443;488,7914017;0,796641831;BOMBAY
705,036;240,7685272;204,9088231;221,9840464;0,774799303;SEKER
827,421;308,6421312;198,9583091;246,5631127;0,81202381;SIRA
1513,858;579,7961934;355,7084648;452,3196245;0,788833688;BOMBAY
709,411;253,5306606;192,2603594;220,5974057;0,755918593;SEKER
915,587;381,3487274;168,2419366;252,5856035;0,629102323;HOROZ
1080,269;417,2089157;252,364847;323,549814;0,750365057;CALI
1653,91;621,0828564;380,4553283;483,0240511;0,783571942;BOMBAY
867,59;303,847956;228,0162327;263,0430698;0,74044855;CALI
876,633;330,7512978;205,7273237;260,1984619;0,714589045;HOROZ
573,98;212,1768045;145,921687;175,7375839;0,708121679;DERMASON
985,808;389,5884164;189,9385938;271,4824935;0,777097597;HOROZ
872,287;355,9094486;171,77262;246,6276536;0,603547605;HOROZ
830,914;314,4130577;198,0714875;249,0678163;0,778306709;SIRA
656,165;248,3065355;162,5920308;200,7627232;0,796036915;DERMASON
689,943;246,5483426;187,7492127;214,9199484;0,746153846;SEKER
662,797;254,5682722;158,4050892;200,4676027;0,7828125;DERMASON
1024,72;343,7082805;245,3333569;289,8726798;0,754544831;BARBUNYA
704,438;262,904149;176,0537875;214,9525293;0,775837003;DERMASON
1015,665;344,1346446;255,5808844;295,2604132;0,811948582;BARBUNYA
782,176;255,5774683;224,6429349;239,4637538;0,791163812;SEKER
650,707;237,9289373;165,3582379;198,1807767;0,770154545;DERMASON
737,056;253,3272387;200,9774282;225,4923973;0,782210992;SEKER
721,292;252,4577187;201,1918221;224,98081;0,791912351;SEKER
832,979;334,310932;177,2798264;242,3862461;0,772966363;HOROZ
