Area;Perimeter;MajorAxisLength;MinorAxisLength;Compactness;Class
4,0486;7,27273;2,44537238;2,110640645;0,92845849;SEKER
2,6614;5,98639;2,204256253;1,54085455;0,835118403;DERMASON
5,6334;9,89798;3,727248213;1,935389833;0,718541802;HOROZ
3,1534;6,55093;2,414660024;1,665977529;0,829828982;DERMASON
3,4014;6,81258;2,529275604;1,714126012;0,822787638;DERMASON
3,598;7,1063;2,599490691;1,768295109;0,823374423;DERMASON
6,3944;9,91765;3,922073851;2,08165323;0,727510377;HOROZ
2,732;6,15902;2,327768483;1,499210126;0,801227087;DERMASON
3,3583;6,57754;2,217110512;1,929504091;0,93266883;SEKER
4,5226;8,27481;3,382253275;1,707677124;0,709484681;HOROZ
2,5032;5,85495;2,192763506;1,457923911;0,814162396;DERMASON
2,4545;5,84164;2,219685464;1,411223374;0,796425468;DERMASON
3,5608;6,89304;2,40389455;1,888797386;0,885754642;SEKER
3,2802;7,12924;2,436567001;1,742200369;0,83873905;DERMASON
7,0304;10,58424;4,375059023;2,053414761;0,683850487;HOROZ
3,2218;6,53595;2,227560714;1,844046839;0,90923218;SEKER
3,0502;6,41008;2,287848135;1,699916744;0,861374527;DERMASON
6,7237;10,16057;4,099005074;2,101520901;0,713806942;HOROZ
5,2968;9,2479;3,87708889;1,747193865;0,669816881;HOROZ
3,0439;6,5008;2,547344625;1,523698789;0,772827462;DERMASON
3,7894;7,19216;2,675446754;1,809072851;0,821001541;DERMASON
3,4623;6,75213;2,281943707;1,935033005;0,920094597;SEKER
3,2314;6,63884;2,474085741;1,66732697;0,819852402;DERMASON
4,3928;7,62262;2,62151106;2,138427879;0,902140293;SEKER
2,7701;6,08531;2,162770942;1,633215209;0,868344898;DERMASON
3,7781;7,38792;2,832345962;1,702064106;0,774364587;HOROZ
4,5005;8,37605;3,417588229;1,703703374;0,700431561;HOROZ
3,9746;7,39528;2,810465799;1,807617178;0,800430205;DERMASON
5,2213;9,00059;3,682535374;1,81332872;0,700160257;HOROZ
3,6299;6,93838;2,437414222;1,898014847;0,882009065;SEKER
3,8042;7,23178;2,439204105;1,988758364;0,902274301;SEKER
5,9663;9,73132;3,945178831;1,940444291;0,69861983;HOROZ
3,6609;6,88123;2,243725593;2,079820031;0,962230792;SEKER
2,7409;6,41327;2,327359075;1,504572906;0,802672273;DERMASON
3,3171;6,54338;2,22253649;1,903614532;0,924667176;SEKER
5,3316;9,35056;3,788140396;1,797800154;0,687793033;HOROZ
6,1505;9,82866;3,957615143;2,033704923;0,707093283;HOROZ
3,033;6,45992;2,430060961;1,592067557;0,808675147;DERMASON
5,5668;9,20338;3,721519948;1,915956406;0,715381191;HOROZ
5,1258;9,04151;3,79080737;1,729812576;0,673913523;HOROZ
3,894;7,15812;2,415768501;2,05474267;0,921717257;SEKER
3,6919;7,06713;2,488840072;1,890083083;0,871130126;SEKER
4,1376;7,33668;2,607469508;2,023572387;0,880258186;SEKER
2,6688;5,99831;2,160724393;1,576687008;0,853127024;DERMASON
2,8487;6,28227;2,16449322;1,684747024;0,87987745;DERMASON
5,7778;9,37572;3,800172916;1,954643071;0,713728359;HOROZ
2,8654;6,36062;2,367389484;1,545394214;0,806822449;DERMASON
3,5217;7,15405;2,755889968;1,631102827;0,768368167;DERMASON
3,5384;7,01617;2,687483673;1,680076422;0,789791923;DERMASON
2,9815;6,31602;2,288520263;1,663361332;0,851368748;DERMASON
5,8869;10,11122;4,182336882;1,801421057;0,654605088;HOROZ
5,3027;9,10442;3,757425792;1,806354243;0,691533424;HOROZ
2,7662;6,25096;2,380967012;1,486065969;0,788212775;DERMASON
3,1612;6,65691;2,399569618;1,682363971;0,836079724;DERMASON
5,7371;9,59093;4,025313903;1,822267305;0,671431197;HOROZ
6,0239;9,6628;3,941802448;1,959888345;0,702585336;HOROZ
3,6813;6,91769;2,43007473;1,933256032;0,890914517;SEKER
5,486;9,11589;3,697305;1,898428757;0,714821626;HOROZ
4,7171;8,60849;3,48027196;1,743526498;0,70417308;HOROZ
3,6707;6,97665;2,443788346;1,915007484;0,884638662;SEKER
4,3968;7,63577;2,618395724;2,14330122;0,90362478;SEKER
5,4861;9,12768;3,617302884;1,953273283;0,730637644;HOROZ
3,0537;6,46047;2,450354323;1,592101645;0,804709921;DERMASON
2,6386;5,86497;2,040168473;1,650594356;0,898412542;DERMASON
3,7365;7,00139;2,475682939;1,923189911;0,881033716;SEKER
3,172;6,60858;2,479994942;1,632366092;0,810346673;DERMASON
5,9479;9,61314;3,947540886;1,932560099;0,697124348;HOROZ
3,3795;6,90578;2,563516827;1,681214356;0,809179948;DERMASON
3,7248;7,05116;2,322710332;2,044789927;0,937586805;SEKER
3,4079;6,86949;2,513405216;1,730145374;0,828773715;DERMASON
3,1344;6,64552;2,474443435;1,621403108;0,80733678;DERMASON
5,4628;9,43267;3,882664325;1,813758193;0,679255032;HOROZ
3,7423;7,20829;2,659007566;1,798417138;0,820927466;DERMASON
2,8264;6,31777;2,412246842;1,498201765;0,786411988;DERMASON
3,4844;7,02976;2,687728252;1,654185644;0,783670873;DERMASON
2,7566;6,24367;2,362875497;1,493493441;0,792868377;DERMASON
3,0735;6,4376;2,322038524;1,68973512;0,851926735;DERMASON
4,9825;9,07244;3,6870454;1,73375271;0,683125076;HOROZ
4,057;7,37047;2,487193482;2,083152297;0,913793348;SEKER
3,8311;7,25439;2,694731238;1,818148409;0,819598862;DERMASON
3,0349;6,47812;2,430052001;1,593263012;0,808931384;DERMASON
2,6584;6,08165;2,206112556;1,539603325;0,833945284;DERMASON
5,7765;9,63255;3,975883825;1,86155782;0,682108972;HOROZ
3,8542;7,23764;2,547115957;1,929009219;0,869708003;SEKER
3,394;6,86235;2,613401667;1,655894372;0,795435216;DERMASON
3,0768;6,47162;2,365545568;1,658821221;0,836706946;DERMASON
4,388;7,56327;2,562454805;2,186627679;0,922427314;SEKER
3,6474;6,9009;2,338446496;1,988087511;0,921550881;SEKER
3,8619;7,27785;2,731315577;1,80360902;0,811864758;DERMASON
4,4192;7,69732;2,759459448;2,042958668;0,859612796;SEKER
3,9108;7,17398;2,56096468;1,948200229;0,871333223;SEKER
3,6536;6,87345;2,315417418;2,012117885;0,9315073;SEKER
