Area;Perimeter;MajorAxisLength;MinorAxisLength;Class
4,926;8,24068;3,090716741;2,036323984;SIRA
4,3945;7,84541;2,8896693;1,94034812;SIRA
3,3554;6,80837;2,661424712;1,607707735;DERMASON
2,9958;6,59487;2,418081891;1,589226565;DERMASON
3,2131;6,6345;2,425844506;1,691960022;DERMASON
3,7706;7,17764;2,58216335;1,863356837;SIRA
6,8197;10,08009;3,683233216;2,387370585;CALI
4,0066;7,61588;2,877866508;1,782415104;SIRA
7,0027;10,14428;3,81585578;2,376176307;CALI
3,02;6,4256;2,418057623;1,594272163;DERMASON
4,8842;8,74559;3,497882022;1,78491769;HOROZ
4,0504;7,4999;2,712358208;1,909960258;SIRA
8,8402;11,63355;4,601566708;2,471421504;CALI
7,5825;10,41481;4,041326348;2,403439412;CALI
7,1641;10,1909;3,861907649;2,3802559;CALI
2,4446;6,13093;2,349825603;1,326402186;DERMASON
8,6458;11,38801;4,498295743;2,465628943;CALI
8,1409;10,95466;4,191968833;2,507517088;CALI
4,8421;8,92167;3,5175824;1,758947248;HOROZ
4,09;7,49122;2,830238894;1,84203207;SIRA
3,2839;6,705;2,395935664;1,757564591;DERMASON
2,9024;6,33222;2,250633287;1,658171115;DERMASON
3,9421;7,29778;2,687413024;1,871020983;SIRA
2,9352;6,27001;2,234084564;1,679127984;DERMASON
5,264;8,56435;3,155711822;2,140551919;SIRA
4,5388;8,0096;3,070593315;1,887131332;SIRA
7,206;10,13657;3,999968058;2,305185863;CALI
3,0731;6,70479;2,494778692;1,572158612;DERMASON
4,1399;7,55681;2,858409631;1,849222162;DERMASON
3,7445;7,27189;2,745401485;1,740813783;DERMASON
2,8164;6,14122;2,2473913;1,601381785;DERMASON
7,2823;10,32663;3,999634503;2,331080841;CALI
3,6792;7,14062;2,618870219;1,793977763;SIRA
6,797;10,3557;4,27310836;2,038613563;HOROZ
2,6318;6,04873;2,321263561;1,447366524;DERMASON
5,1494;8,64097;3,253516274;2,026147673;SIRA
3,4951;6,92064;2,646335563;1,685722881;DERMASON
4,8429;8,64145;3,555471431;1,738198922;HOROZ
3,0529;6,5551;2,463624399;1,583707031;DERMASON
2,771;6,13763;2,292990591;1,544416766;DERMASON
3,6143;7,36997;2,998903167;1,54194303;HOROZ
7,4202;10,47001;4,033070199;2,363849854;CALI
5,1802;8,71723;3,373720652;1,961783294;SIRA
4,7223;8,41035;3,390877546;1,778068818;HOROZ
3,6458;7,31111;2,83698962;1,649206882;HOROZ
4,1063;7,52361;2,729495451;1,917885087;SIRA
4,4231;8,01688;3,019073807;1,871526599;SIRA
6,4748;9,60007;3,547152061;2,343659532;CALI
5,0429;8,39831;3,172309113;2,030951777;SIRA
4,0153;7,35215;2,738529659;1,868850704;DERMASON
5,3679;9,49603;3,543971294;1,959801606;HOROZ
